id_jogo_cbf,data_jogo,time_mandante,time_visitante,estadio,competicao,publico_pagante,publico_nao_pagante,publico_total,receita_bruta_total,despesa_total,resultado_liquido,caminho_pdf_local,data_processamento,status,log_erro
142328b_2024,2024-11-09,Fortaleza,Vasco da Gama,Arena Castelão,Campeonato Brasileiro Série A,44293,978,45271,1330871.0,703876.49,626994.51,pdfs\142328b_2024.pdf,2025-05-05,Sucesso,
142329b_2024,2024-11-09,Atlético Goianiense,Red Bull Bragantino,Antônio Accioly,Campeonato Brasileiro Série A,2419,183,2602,25240.0,68450.69,-43210.69,pdfs\142329b_2024.pdf,2025-05-05,Sucesso,
14232b_2024,2024-04-28,Cruzeiro,Vitória,Mineirão,Campeonato Brasileiro Série A,20083,991,21074,620905.0,479636.24,141268.76,pdfs\14232b_2024.pdf,2025-05-05,Sucesso,
142330b_2024,2024-11-09,Juventude,Bahia,Alfredo Jaconi,Campeonato Brasileiro Série A,6091,0,6091,225910.0,104380.31,121529.69,pdfs\142330b_2024.pdf,2025-05-05,Sucesso,
142331b_2024,2024-11-20,Grêmio,Juventude,Arena do Grêmio,Campeonato Brasileiro Série A,40196,1464,41660,2297345.0,546108.83,1751236.17,pdfs\142331b_2024.pdf,2025-05-05,Sucesso,
142332b_2024,2024-11-20,Atlético Mineiro,Botafogo-RJ,Independência,Campeonato Brasileiro Série A,0,0,0,0.0,205725.22,-205725.22,pdfs\142332b_2024.pdf,2025-05-05,Sucesso,
142333b_2024,2024-11-20,Bahia,Palmeiras,Arena Fonte Nova,Campeonato Brasileiro Série A,35993,0,35993,1620555.0,762737.69,857817.31,pdfs\142333b_2024.pdf,2025-05-05,Sucesso,
142334b_2024,2024-11-22,Fluminense,Fortaleza,Maracanã,Campeonato Brasileiro Série A,37969,1233,39202,1240052.5,1264826.09,-24773.59,pdfs\142334b_2024.pdf,2025-05-05,Sucesso,
142335b_2024,2024-11-21,Vasco da Gama,Internacional,São Januário,Campeonato Brasileiro Série A,17339,139,17478,870043.0,654744.63,215298.37,pdfs\142335b_2024.pdf,2025-05-05,Sucesso,
142336b_2024,2024-11-20,Corinthians,Cruzeiro,Neo Química Arena,Campeonato Brasileiro Série A,45756,0,45756,2552660.0,1002231.6,1550428.4,pdfs\142336b_2024.pdf,2025-05-05,Sucesso,
142337b_2024,2024-11-20,Red Bull Bragantino,São Paulo,Nabi Abi Chedid,Campeonato Brasileiro Série A,8895,0,8895,462525.0,213220.58,249304.42,pdfs\142337b_2024.pdf,2025-05-05,Sucesso,
142338b_2024,2024-11-20,Athletico Paranaense,Atlético Goianiense,Ligga Arena,Campeonato Brasileiro Série A,41573,0,41573,1057900.0,215632.61,842267.39,pdfs\142338b_2024.pdf,2025-05-05,Sucesso,
142339b_2024,2024-11-20,Cuiabá,Flamengo,Arena Pantanal,Campeonato Brasileiro Série A,12890,0,12890,1889820.05,394565.18,1495254.87,pdfs\142339b_2024.pdf,2025-05-05,Sucesso,
14233b_2024,2024-04-27,Bahia,Grêmio,Arena Fonte Nova,Campeonato Brasileiro Série A,35836,0,35836,1162668.5,654835.69,507832.81,pdfs\14233b_2024.pdf,2025-05-05,Sucesso,
142340b_2024,2024-11-20,Criciúma,Vitória,Heriberto Hülse,Campeonato Brasileiro Série A,12123,0,12123,463040.0,627753.58,-164713.58,pdfs\142340b_2024.pdf,2025-05-05,Sucesso,
142341b_2024,2024-11-24,Internacional,Red Bull Bragantino,Beira-Rio,Campeonato Brasileiro Série A,43928,0,43928,2335983.0,463335.76,1872647.24,pdfs\142341b_2024.pdf,2025-05-05,Sucesso,
142342b_2024,2024-11-27,Cruzeiro,Grêmio,Mineirão,Campeonato Brasileiro Série A,21009,46,21055,717892.5,577745.3,140147.2,pdfs\142342b_2024.pdf,2025-05-05,Sucesso,
142343b_2024,2024-11-24,Bahia,Athletico Paranaense,Arena Fonte Nova,Campeonato Brasileiro Série A,25768,0,25768,816275.0,898473.17,-82198.17,pdfs\142343b_2024.pdf,2025-05-05,Sucesso,
142344b_2024,2024-11-26,Fluminense,Criciúma,Maracanã,Campeonato Brasileiro Série A,41240,1837,43077,1036177.5,1256185.47,-220007.97,pdfs\142344b_2024.pdf,2025-05-05,Sucesso,
142345b_2024,2024-11-23,Botafogo-RJ,Vitória,Nilton Santos,Campeonato Brasileiro Série A,35491,6256,41747,2419790.0,1850076.68,569713.32,pdfs\142345b_2024.pdf,2025-05-05,Sucesso,
142346b_2024,2024-11-24,Corinthians,Vasco da Gama,Neo Química Arena,Campeonato Brasileiro Série A,45767,0,45767,2563923.5,986762.47,1577161.03,pdfs\142346b_2024.pdf,2025-05-05,Sucesso,
142347b_2024,2024-11-23,São Paulo,Atlético Mineiro,Morumbi,Campeonato Brasileiro Série A,36783,0,36783,2100000.0,740807.91,1359192.09,pdfs\142347b_2024.pdf,2025-05-05,Sucesso,
142348b_2024,2024-11-26,Fortaleza,Flamengo,Arena Castelão,Campeonato Brasileiro Série A,56646,978,57624,3034107.0,1167717.07,1866389.93,pdfs\142348b_2024.pdf,2025-05-05,Sucesso,
142349b_2024,2024-11-23,Atlético Goianiense,Palmeiras,Antônio Accioly,Campeonato Brasileiro Série A,11216,1998,13214,1112280.0,128942.3,987368.6,pdfs\142349b_2024.pdf,2025-05-05,Sucesso,
14234b_2024,2024-04-28,Flamengo,Botafogo-RJ,Maracanã,Campeonato Brasileiro Série A,53683,1329,55012,2956180.0,1783806.81,1131340.13,pdfs\14234b_2024.pdf,2025-05-05,Sucesso,
142350b_2024,2024-11-23,Juventude,Cuiabá,Alfredo Jaconi,Campeonato Brasileiro Série A,6932,0,6932,200690.0,96494.13,104195.87,pdfs\142350b_2024.pdf,2025-05-05,Sucesso,
